what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1286207271509
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1286207271510
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1286207271511
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1286207271511
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1286207271511
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1286207271512
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1286207271512
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1286207271513
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1286207271514
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1286207271515
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1286207271516
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1286207271517
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1286207271517
os,sysinfo,,,"win32",1286207271521
arch,sysinfo,,,"x86",1286207271521
ws,sysinfo,,,"win32",1286207271521
locale,sysinfo,,,"en_US",1286207271521
processors,sysinfo,,,"4",1286207271521
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1286207271521
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1286207271521
java.specification.name,sysinfo,,,"Java Platform API Specification",1286207271521
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286207271521
java.specification.version,sysinfo,,,"1.6",1286207271521
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1286207271521
java.version,sysinfo,,,"1.6.0_18",1286207271521
java.vm.info,sysinfo,,,"mixed mode, sharing",1286207271521
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1286207271521
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1286207271521
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1286207271521
java.vm.specification.version,sysinfo,,,"1.0",1286207271521
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1286207271521
java.vm.version,sysinfo,,,"16.0-b13",1286207271521
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207271526
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207273202
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1286207276351
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1286207276478
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1286207276535
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207282413
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207283488
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207283970
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207284895
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207285887
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207313105
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207313147
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207313311
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207318932
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207331496
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207331961
opened,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286207334416
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1286207334459
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1286207335891
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207338729
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207340831
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207344874
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207380394
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1286207404943
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1286207405184
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1286207405185
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1286207405186
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1286207405187
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1286207405187
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1286207405188
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1286207405189
